,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,astikotita,orinotita
10596,4615401020104,Δρούτσουλας,10,10,18,24,22,22,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Δρούτσουλας,ο,ο,37.60387,26.19186,,False,1.0
10597,4615401020105,Κεραμείο,88,98,87,85,56,59,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Κεραμείον,το,το,37.6259,26.18697,,False,1.0
10598,4615401020106,Κυπαρίσσι,6,6,7,8,6,6,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Κυπαρίσσιον,το,το,,,,False,1.0
10599,4615401020107,Ξανθή,29,31,28,31,27,31,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Ξανθή,η,η,,,,False,1.0
10600,4615401020108,Φύτεμα,50,49,42,43,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Ευδήλου,Φύτεμα,το,το,,,,False,1.0
10601,4615401020201,Αρέθουσα,109,111,118,116,138,134,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Αρεθούσης,Αρέθουσα,η,η,,,,False,2.0
10602,4615401020202,Κυπαρίσσι Αρεθούσης,14,16,16,16,9,9,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Αρεθούσης,Κυπαρίσσι Αρεθούσης,το,το,,,,False,2.0
10603,4615401020203,Πέρα Αρέθουσα,47,47,44,44,50,51,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Αρεθούσης,Πέρα Αρέθουσα,η,η,37.61324,26.22106,,False,2.0
10604,4615401020204,Φοίνικας,8,8,11,11,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Αρεθούσης,Φοίνικας,ο,ο,,,,False,2.0
10605,4615401020301,Δάφνη,125,119,133,130,153,120,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,ΙΚΑΡΙΑΣ,ΕΥΔΗΛΟΥ,Δάφνης,Δάφνη,η,η,,,,False,2.0
